Industry Name,Type,Category,Lat,Long
Tile,stone cutting,Marble Tile,28.8405,77.1257
monga marbles,stone cutting,Marble Tile,28.8404,77.1265
sehrawat marbles,stone cutting,Marble Tile,28.8405,77.1239
unnamed marble,stone cutting,Marble Tile,28.8396,77.1263
sk stocks,stone cutting,Marble Tile,28.8394,77.124
marble plaza,stone cutting,Marble Tile,28.8397,77.122
delhi stonex,stone cutting,Marble Tile,28.8406,77.1218
bansal tiles,stone cutting,Marble Tile,28.8375,77.1267
ak marbles,stone cutting,Marble Tile,28.8365,77.1272
jai blalji marbles,stone cutting,Marble Tile,28.8359,77.1272
swastik marbles,stone cutting,Marble Tile,28.8368,77.1272
rudra foods,food/fmcg,food processing industry,28.8377,77.1014
allied,metal fabrication,engineering,28.8374,77.1021
peeco poly,chemical/rubber/electroplating/pesticide,chemical industry,28.8376,77.1008
jain hosiery,textile,textile,28.8371,77.1004
gp max,rubber,chemical industry,28.8369,77.0986
govind plastics,chemical/rubber/electroplating/pesticide,chemical industry,28.8363,77.0988
bansal ropes,chemical/rubber/electroplating/pesticide,chemical industry,28.8366,77.1001
banke biharis,pulses mill,dall mill,28.8367,77.1013
palstic,chemical/rubber/electroplating/pesticide,chemical industry,28.8363,77.1018
km dal mill,pulses mill,dall mill,28.8363,77.1013
flour mill,flour mill,flour mill,28.8361,77.0995
rs,chemical/rubber/electroplating/pesticide,chemical industry,28.8355,77.0987
shivam,chemical/rubber/electroplating/pesticide,chemical industry,28.8353,77.0992
xo footwear,rubber,chemical industry,28.8355,77.0998
vintex,rubber,chemical industry,28.8346,77.1002
srg,plastic,chemical industry,28.8347,77.1007
vasu poly,chemical/rubber/electroplating/pesticide,chemical industry,28.8344,77.101
goel industries,chemical/rubber/electroplating/pesticide,chemical industry,28.8353,77.1031
NULLc,chemical/rubber/electroplating/pesticide,chemical industry,28.8352,77.1024
goyal food processors,food/fmcg,food processing industry,28.8355,77.1011
paymen cables,chemical/rubber/electroplating/pesticide,chemical industry,28.8347,77.0989
decent packers,chemical/rubber/electroplating/pesticide,chemical industry,28.8342,77.0997
E India electricals,electricals/metal fabrication/moulds,engineering,28.834,77.0993
bunty polymers,chemical/rubber/electroplating/pesticide,chemical industry,28.8349,77.0979
shree manglam foods,food/fmcg,food processing industry,28.8356,77.0969
shri shyam box industry,chemical/rubber/electroplating/pesticide,chemical industry,28.8355,77.096
sahil plastic,chemical/rubber/electroplating/pesticide,chemical industry,28.8353,77.0934
golking footwear,rubber,chemical industry,28.8348,77.094
sahil plastics dana,chemical/rubber/electroplating/pesticide,chemical industry,28.8355,77.0945
fasco cables,chemical/rubber/electroplating/pesticide,chemical industry,28.8342,77.0948
BK electricals,electricals/metal fabrication/moulds,engineering,28.8334,77.095
shivam plastic,chemical/rubber/electroplating/pesticide,chemical industry,28.8342,77.0968
shreeya plastics,chemical/rubber/electroplating/pesticide,chemical industry,28.8341,77.0972
shiv enterprises,shoe lace,chemical industry,28.834,77.0971
Haryana foundry,foundry,foundry,28.8339,77.0968
cajon plast,chemical/rubber/electroplating/pesticide,chemical industry,28.8339,77.1022
mother dairy,milk dairy,food processing industry,28.6224,77.2866
