"","CODE","10_buffer_1000m","20_buffer_1000m","30_buffer_1000m","40_buffer_1000m","50_buffer_1000m","60_buffer_1000m","70_buffer_1000m","80_buffer_1000m","90_buffer_1000m","95_buffer_1000m","100_buffer_1000m","10_buffer_100m","20_buffer_100m","30_buffer_100m","40_buffer_100m","50_buffer_100m","60_buffer_100m","70_buffer_100m","80_buffer_100m","90_buffer_100m","95_buffer_100m","100_buffer_100m","10_buffer_300m","20_buffer_300m","30_buffer_300m","40_buffer_300m","50_buffer_300m","60_buffer_300m","70_buffer_300m","80_buffer_300m","90_buffer_300m","95_buffer_300m","100_buffer_300m","10_buffer_5000m","20_buffer_5000m","30_buffer_5000m","40_buffer_5000m","50_buffer_5000m","60_buffer_5000m","70_buffer_5000m","80_buffer_5000m","90_buffer_5000m","95_buffer_5000m","100_buffer_5000m","10_buffer_500m","20_buffer_500m","30_buffer_500m","40_buffer_500m","50_buffer_500m","60_buffer_500m","70_buffer_500m","80_buffer_500m","90_buffer_500m","95_buffer_500m","100_buffer_500m"
"1","site_5024",84120.1130337883,8726.16192510268,17503.6297611611,1975052.87156342,739066.542521907,275292.604281975,NA,NA,NA,NA,NA,20888.2705703436,146.873622490378,148.585289988798,4247.0104393155,5163.5019099516,394.400935094497,NA,NA,NA,NA,NA,69150.6247175628,1484.12115478516,7158.74028778076,143915.256218585,37456.932762146,19802.9784084544,NA,NA,NA,NA,NA,2594006.54112414,347933.221328077,209362.116001294,51804839.0746787,15811503.055337,6714497.13435903,NA,6022.98489379883,6983.20802307129,NA,NA,72567.7717689664,3169.55711613075,12307.827031633,497026.067725657,124337.670707882,65520.4640055338,NA,NA,NA,NA,NA
"2","site_301",398601.413178268,2535.73952484131,2098.55891418457,145275.599845796,2370068.63684689,181063.783101011,NA,NA,NA,NA,NA,224.942120121975,NA,852.793511125153,NA,29909.5808985093,NA,NA,NA,NA,NA,NA,25834.5706154618,NA,1748.79016876221,2084.84715606091,229995.957798528,19286.8338813034,NA,NA,NA,NA,NA,7973729.38588021,84478.4474413704,250962.990573389,2527705.48299163,60854657.9073617,5171329.91622389,NA,629117.347841958,612.117469787598,NA,NA,86896.7730335909,NA,1748.79016876221,12880.0984095555,604972.401082447,68392.9879504933,NA,NA,NA,NA,NA
"3","site_1420",672388.712792939,15438.8502593097,45367.8763051949,22731.0432611503,2278992.72015213,63272.3774154065,NA,1485.73793792725,NA,NA,NA,9051.67359439625,378.734462214451,5827.39507799335,NA,15732.1360857197,NA,NA,NA,NA,NA,NA,75381.0100239772,524.401527404785,6292.84916687012,NA,195294.291493913,1463.51359917136,NA,NA,NA,NA,NA,16778904.6516397,474037.811107651,690434.957926522,2656081.63650129,50971156.2946199,5159535.6761378,NA,747787.139132032,15379.2708206177,NA,NA,158104.929125677,786.594802856445,9444.39452499689,400.332126393038,601287.561393468,4874.4446294448,NA,NA,NA,NA,NA
"4","site_108",717781.94006234,1018015.07212156,5868.34254455566,181827.030062836,875916.636472246,300138.895099475,NA,NA,NA,NA,NA,7088.09128298292,14099.6555390601,NA,1989.70605995328,4414.91172317804,3395.1671772078,NA,NA,NA,NA,NA,52473.5154285206,119949.805284328,NA,22672.2330464083,66605.942745852,17243.6474826888,NA,NA,NA,NA,NA,14669721.0848081,9545132.44171403,453483.389864215,10835717.9431962,34622915.4828228,7336731.91439089,NA,25657.2984161377,525.562591552734,NA,NA,146353.332406915,314209.218493024,788.232696533203,62979.9057495416,193055.004046152,57489.0989243152,NA,NA,NA,NA,NA
"5","site_1560",114150.778059148,4554.3694355385,3144.10424804688,837796.033119052,1928908.63118893,209784.021464509,NA,1397.42378234863,NA,NA,NA,9225.30692829805,87.3347854614258,NA,6771.0218963623,14002.6179077747,901.770541202321,NA,NA,NA,NA,NA,35716.4182073855,262.006126403809,174.67008972168,30076.067196027,178127.441806898,34608.1289266549,NA,NA,NA,NA,NA,3696778.27877473,469686.345736066,328405.891105502,43303411.4905701,21232625.6334589,8353511.14646744,NA,110061.274276733,87.3158569335938,NA,NA,63580.3136138916,262.006126403809,174.67008972168,105551.043036308,514982.47281557,90374.7783142688,NA,NA,NA,NA,NA
"6","site_104",433357.750297696,51533.0017471313,16164.671913147,432785.943536586,970397.092211914,1158726.64331115,NA,36205.6816563924,524.294609069824,NA,NA,NA,NA,1656.37465248856,NA,9853.28012105904,19483.1536814073,NA,NA,NA,NA,NA,2914.56381037095,436.881912231445,12767.5160479976,10408.0634087058,100435.452442872,151286.482251306,NA,708.931054148954,NA,NA,NA,12087792.7255105,685613.664494144,410024.439923694,15372324.4283508,37650306.5804677,7971232.52426548,NA,3298992.1331659,17563.2957763672,NA,NA,23365.2854352166,873.765892028809,13892.8056640625,48691.3101400338,279255.972135805,393259.06344802,NA,15565.2710749607,NA,NA,NA
"7","site_103",1065032.51556824,10582.3226964315,32774.4688110052,33386.3954944685,1819040.65297528,138773.789174428,NA,NA,NA,NA,NA,6851.15288558661,NA,NA,NA,21596.8180618885,2542.14783253389,NA,NA,NA,NA,NA,118329.721934449,1837.88328552246,1312.77590179443,2707.52521939745,138814.800378957,15940.2799701167,NA,NA,NA,NA,NA,19814555.567204,1100154.20039822,739830.761464886,6409019.04771037,39071421.8993897,5669077.98411009,NA,4458857.61590783,228223.547714233,NA,NA,357708.860356829,1925.40314483643,3938.42217254639,4724.17787376853,376540.006389962,30039.6506506228,NA,NA,NA,NA,NA
"8","site_5393",110634.700905385,NA,2710.40237151501,10760.6040708953,2774815.603753,200740.584995195,NA,NA,NA,NA,NA,1552.86582480038,NA,NA,NA,29436.950928602,NA,NA,NA,NA,NA,NA,28350.0059944901,NA,1923.49970245361,151.891179851457,227929.922219609,20606.5190541585,NA,NA,NA,NA,NA,19216875.781717,196853.479733845,575894.319212461,7620413.19457478,42770837.8754243,4421704.81166116,NA,2689541.67213996,612.117469787598,NA,NA,58966.3631719253,NA,1923.49970245361,5889.71669461119,648805.633416359,59314.8376559388,NA,NA,NA,NA,NA
"9","site_118",364989.771064339,28818.358140534,25771.023447882,531124.919903206,1794158.82738223,353182.632842988,NA,1659.77339935303,NA,NA,NA,2732.01898423737,NA,NA,1588.15951648787,26420.6048533122,251.789170657887,NA,NA,NA,NA,NA,25764.1593058268,174.70955657959,NA,17351.8274633669,210842.858190888,23168.9434397379,NA,1659.77339935303,NA,NA,NA,6810932.81431549,687436.062271956,606156.559129363,23338793.6876868,37428117.2132711,8168963.259604,NA,435760.834731786,17990.2658691406,NA,NA,72728.6998698515,3567.49911253686,1332.58650413962,58147.7695998846,576020.715990852,61453.1870861876,NA,1659.77339935303,NA,NA,NA
"10","site_1421",672811.331966924,1714116.9641127,21539.5394973755,136909.049079805,268519.806859215,279354.331470923,NA,6303.9354019165,NA,NA,NA,11778.1747712079,8624.63502290015,NA,NA,10413.6062286078,175.123291015625,NA,NA,NA,NA,NA,77942.0469845042,123340.755632976,5292.71872660319,1979.5890727922,64765.1259932873,5620.44207446528,NA,NA,NA,NA,NA,12450707.7605535,15986925.3963568,358340.813691681,5990491.95965292,35381998.0071247,7244687.86890403,NA,76630.8044662476,525.368339538574,NA,NA,231581.508836933,370086.723380893,18212.3629837036,29851.6925630158,99206.4697494507,25928.6981963812,NA,NA,NA,NA,NA
"11","site_1422",541867.196322482,106492.241336927,133890.216456754,361562.997300361,1710717.95171775,245075.33401229,NA,NA,NA,NA,NA,437.512924194336,NA,NA,NA,30551.6942043828,NA,NA,NA,NA,NA,NA,49232.1572263231,175.004539489746,3937.65104675293,5060.73562759699,215990.036479097,4557.72102053773,NA,NA,NA,NA,NA,10979673.89978,1711904.62570083,3223762.9024432,8194530.49634127,46119183.8974401,6881483.23439325,NA,380865.390511935,NA,NA,NA,213911.158727369,437.519287109375,6517.49000746783,38773.8906400494,473958.2194794,41286.3124924005,NA,NA,NA,NA,NA
"12","site_116",139355.941027712,699.450408935547,5595.682762146,151632.122150586,2589652.24171827,212717.298384423,NA,NA,NA,NA,NA,9286.42490671195,NA,NA,NA,21525.3348346785,174.865776062012,NA,NA,NA,NA,NA,37267.9272489959,NA,NA,8204.36001539043,216190.64514205,17295.9005552105,NA,NA,NA,NA,NA,9481542.79176334,129373.656470714,328152.992098221,5160231.19606964,55363460.6189867,5412054.41277421,NA,1617275.00128569,612.117469787598,NA,NA,64423.8179187849,87.4315338134766,931.584392652325,31376.8854149314,615162.843891728,62918.62618854,NA,NA,NA,NA,NA
"13","site_106",95621.0977971095,118389.494978961,456619.690363746,119595.204071165,2253784.83711479,51205.5486980064,NA,4375.45372009277,NA,NA,NA,NA,NA,574.129018297382,NA,30416.4277227664,NA,NA,NA,NA,NA,NA,NA,4889.23392698999,30282.2846252741,NA,243771.288406282,NA,NA,NA,NA,NA,NA,18480729.3378991,2219762.75281228,3053393.12778054,7976855.61891246,41249967.4416175,4503949.2906039,NA,6650.4635925293,NA,NA,NA,7968.5485436533,25262.2750061933,87541.8872261197,156.831859244552,651677.873049986,2270.08884597479,NA,NA,NA,NA,NA
"14","site_114",460196.948208558,8835.49611017564,9177.97541046143,121444.135977143,2358171.09801432,141843.671252202,NA,NA,NA,NA,NA,10492.2013052847,NA,NA,7348.81733491187,11659.1355778713,1492.18946048512,NA,NA,NA,NA,NA,100637.591013979,NA,NA,11023.2086498784,156447.511215629,10845.4056178074,NA,NA,NA,NA,NA,5332848.97699555,65231.986834627,230191.945810714,2659400.72776902,60849380.4441804,8186916.85523778,NA,169132.036323488,NA,NA,NA,204285.448306274,2447.47980499268,1048.92887115479,51075.8609418981,483231.613706252,32803.9246770522,NA,NA,NA,NA,NA
"15","site_117",988633.015198472,2885.97315979004,42511.1557020599,89266.2427160226,1828825.70344026,141740.344584416,NA,5772.03576660156,NA,NA,NA,3790.7592496685,NA,NA,437.278060913086,25798.9939350502,962.008712768555,NA,NA,NA,NA,NA,80633.7014574238,NA,NA,8128.12502967984,185523.957422533,4660.50350341797,NA,NA,NA,NA,NA,22548135.39873,162474.018581016,800344.303253653,7474859.0122862,39024233.341558,4691295.96917049,NA,2790254.45120652,699.579940795898,NA,NA,255620.355304733,NA,NA,31572.5433566523,463664.941222905,24030.7202159208,NA,NA,NA,NA,NA
"16","site_1423",291633.818772978,22373.4708225325,74871.5965943879,167726.932074483,2109040.25062142,342082.047005986,NA,91716.2565421609,262.09041595459,NA,NA,3863.81785029991,NA,NA,NA,26193.5956347297,929.544087787703,NA,NA,NA,NA,NA,18250.0366745594,NA,NA,3733.60965621051,244516.144484217,12461.9730760462,NA,NA,NA,NA,NA,10542885.785529,634863.597154505,374153.909125384,8758680.19778314,47367280.7340944,8973210.8765923,NA,825225.58757779,17563.2957763672,NA,NA,54249.6380243638,NA,NA,29003.0294022205,652081.714615975,30377.4261631685,NA,9196.82544806985,NA,NA,NA
"17","site_1424",649591.457067751,1749.87477111816,37184.2503356934,43613.7729282753,2320524.59169545,45897.154663415,NA,1049.94316864014,NA,NA,NA,2593.27526711857,699.957733154297,4998.85768534342,NA,22696.5059322282,NA,NA,NA,NA,NA,NA,49080.7926117542,1400.59639769909,15673.7839992149,699.971038818359,201227.061493159,9911.73235144522,NA,962.446716308594,NA,NA,NA,27490655.6011488,247096.114613193,1046400.6343911,4558733.12105435,39087204.9562307,3514486.59041589,NA,1544701.11479286,2274.82144165039,NA,NA,175431.289896348,1487.4030456543,25460.5875549316,3789.82136804917,551028.132006746,16636.5473057766,NA,1049.94316864014,NA,NA,NA
