CODE,pop_buffer_300m,pop_buffer_500m,pop_buffer_1000m,pop_buffer_5000m
site_5024,138.3897708,912.2345853,10158.3921,306299.4121
site_301,7053.901362,22103.02169,90860.84435,2763597.648
site_1420,6634.675132,21232.90805,87681.07058,2218102.718
site_108,253.1731047,1061.051573,6137.19653,447963.4051
site_1560,2027.637801,7180.905348,31699.26163,345324.4154
site_104,3325.818511,12828.52009,53325.4312,1585732.055
site_103,4003.152706,11889.16013,56925.50466,1415292.263
site_5393,5857.436259,18650.98422,97369.87562,2059978.278
site_118,2445.782936,8667.962375,29979.71147,1142367.443
site_1421,1486.235265,2206.718301,5178.667436,1294102.838
site_1422,2620.150059,7631.865723,31452.06777,1081063.836
site_116,7198.008598,24685.23537,113986.4239,3072976.952
site_106,3430.107169,9987.090859,32906.96569,643594.6196
site_114,10083.89724,32726.68013,146153.5345,3405109.934
site_117,783.7915153,3038.138833,31009.82654,1624060.744
site_1423,9306.794644,28458.28601,100801.2089,1864922.939
site_1424,3234.361785,11657.72343,56250.28172,1046212.284
site_5395,820.9928133,3535.374991,22408.73245,871913.4088
site_109,699.9559385,3195.843898,19086.25523,860281.9774
site_1425,450.2548527,1003.155615,3710.814155,1127136.262
site_122,1657.925404,5046.065619,34239.46758,1431755.504
site_1561,3477.144924,14740.41593,78493.58636,2178822.254
site_115,7151.848402,19204.1711,74111.2741,1770750.537
site_1427,243.9781678,347.4598003,461.4695137,86441.53185
site_1426,3557.953199,8981.892837,32377.10288,393571.3916
site_1429,3830.71758,12654.55483,53488.24795,1316034.832
site_105,8971.202794,27655.4806,111071.1974,2152789.26
site_1428,6634.291428,18822.62434,74480.32536,1654155.571
site_1431,8716.996588,27365.40269,114381.7181,2195311.611
site_125,6493.056567,20340.56148,85679.40834,2421220.674
site_1563,3490.916174,11997.39499,55497.93048,1818232.383
site_107,3490.916174,11997.39499,55497.93048,1818232.383
site_124,3699.768051,10973.33008,39757.20723,993030.4503
site_1430,4976.092868,16898.93708,72139.41969,1749443.004
site_113,7726.454046,22451.18153,91558.27257,2082946.168
site_119,2284.130891,12311.85704,66226.46667,1532230.095
site_1432,11963.03796,31381.12609,103319.8127,2616025.864
site_1562,805.5006305,2744.623674,29351.08794,1395827.564
site_1435,8951.506908,28729.27306,123728.7916,2940171.808
site_1434,8396.038909,25003.16882,101179.9183,2323569.419
